ИНН,Сокращенное наименование,Полное наименование,В реестре,Статус проверки,Найденное название,ОГРН,Выручка,Налоги,Сотрудники,Применяет УСН,Ошибка
3906992381,"ООО ""ПРОФСОФТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФСОФТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ПРОФСОФТ""",,15448000,772810,9,Да,
3906244121,"ООО ""АРДИС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРДИС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""АРДИС""",,19944000,766648,9,Да,
3906245132,"ООО ""ОРУС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРУС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ОРУС""",,46976000,738938,8,Да,
3917501719,"ООО ""НАВИ 39""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАВИ 39""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""НАВИ 39""",,13865000,688879,4,Да,
3906355600,"ООО ""ДАКС-ГРУПП""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАКС-ГРУПП""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ДАКС-ГРУПП""",,50623000,682384,35,Да,
3906357284,"ООО ""ВР НЕКСТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВР НЕКСТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ВР НЕКСТ""",,12446000,651626,6,Да,
3906141969,"ООО ""КОНСАЛТ ИНФО""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСАЛТ ИНФО""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""КОНСАЛТ ИНФО""",,30701000,628045,16,Да,
3906284170,"ООО ""ВЕСТ ИНТЕЛЛЕДЖЕНС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕСТ ИНТЕЛЛЕДЖЕНС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ВЕСТ ИНТЕЛЛЕДЖЕНС""",,29274000,619743,18,Да,
3906401247,"ООО ""БИЗНЕС ПРОДВИЖЕНИЕ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЗНЕС ПРОДВИЖЕНИЕ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""БИЗНЕС ПРОДВИЖЕНИЕ""",,23611000,587473,3,Да,
3906375861,"ООО ""КАЙДЗЕН-СОФТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЙДЗЕН-СОФТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""КАЙДЗЕН-СОФТ""",,18552000,551023,10,Да,
