Название,ИНН,ОГРН,КПП,Адрес,Статус,В реестре,Дата регистрации,Уставной капитал,Основной вид деятельности,Налоги,Источник
"ООО ""СОБИКО""",3908025326,1023901869750,390802532,"236022,Калининградская область,город Калининград,ул. Д.Донского, д.7, офис 310",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""БУЛЕАН""",3906172396,1073906016579,390617239,"236000,Калининградская область,город Калининград,Нарвская ул., д.68 к.а",Действующая,Да,,50 000 руб,,1 млн руб.,rusprofile
"ООО ""ДЕМЛАБ""",3906386750,1193926017196,390638675,"236016,Калининградская область,город Калининград,Римская ул., д. 33 к. 2, кв. 29",Действующая,Да,,14 500 руб,,1 млн руб.,rusprofile
"ООО ""ЦРПО""",3904092392,1073905025732,390409239,"236004,Калининградская область,г Калининград,Дюнная ул, д. 18, этаж 2 помещ. 21",Действующая,Да,,12 500 руб,,1 млн руб.,rusprofile
"ООО ""ДАРКСЕЛЬ""",3917054877,1213900005285,391705487,"236038,Калининградская область,Гурьевский р-н, п Невское,Орудийная ул, д. 100а, кв.2",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ДЖЕТМИКС""",3918503596,1123926049730,391850359,"238590,Калининградская область,Зеленоградский р-н, п Куликово,Пионерская ул, д. 37",Действующая,Да,,10 000 руб,,1123926049730 млн руб.,rusprofile
"ООО ""МУЛЬТИ САЙТ""",3916013349,1153926013801,391601334,"236039,Калининградская область,г Калининград,ул Нансена, д. 73, помещ.I",Действующая,Да,,12 500 руб,,1 млн руб.,rusprofile
"ООО ""ИКАС""",3906395610,1203900013008,390639561,"236006,Калининградская область,г Калининград,ул Ю.Гагарина, д. 16г, кв. 82",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АЙТИБАЛТИК""",3906379908,1193926006119,390637990,"236010,Калининградская область,город Калининград,пр-кт Победы, д. 6, кв.5",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""РОБОТ ИКС ТЕХНОЛОДЖИ""",3906396406,1203900014009,390639640,"236006,Калининградская область,город Калининград,ул. Маршала Баграмяна, д. 36, кв. 91",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ДИАСИСТЕМС""",3912015271,1183926043542,391201527,"238563,Калининградская область,Светлогорский район, город Светлогорск,Новая ул., д. 8 этаж подвал., литер 2а",Действующая,Да,,40 000 руб,,1 млн руб.,rusprofile
"ООО ""БЕРИЛЛ КОМ""",3906257089,1123926006258,390625708,"236011,Калининградская область,город Калининград,Машиностроительная ул., д.4, 29",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ДНТ""",3920800518,1133926013440,392080051,"236010,Калининградская область,г Калининград,Балтийский пер, д.2",Действующая,Да,,20 000 руб,,1 млн руб.,rusprofile
"ООО ""ИТЕРАЦИЯ""",3906356643,1173926021510,390635664,"236006,Калининградская область,город Калининград,ул. Маршала Баграмяна, д. 36, офис VII",Действующая,Да,,12 000 руб,,1 млн руб.,rusprofile
"ООО ""РОС""",3906407760,1213900013436,390640776,"236038,Калининградская область,г Калининград,Артиллерийская ул, д. 81, кв. 15",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
